taxon_id,taxon,categoria,estatus,countFilteredRegistro,id_registro,latitud,longitud,altitud,estado,municipio,localidad,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,dc6672251a96c88fdbe834fc8ac05618,19.1086102,-98.8066636,2529,MEXICO,AYAPANGO,Pahuacán,761.4001,14.2366,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,ec23e146d1b3d53eec431d61aa76260d,19.1086102,-98.8066636,2529,MEXICO,AYAPANGO,Pahuacán,761.4001,14.2366,['blanco'],16,18.9
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,f829e8f28519edff441f34af515bb0ce,19.1086102,-98.8066636,2529,MEXICO,AYAPANGO,Pahuacán,761.4001,14.2366,['blanco'],14.2,19.54
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,1e7983ae2652f2111f6691ad4b3346cf,21.77306,-102.97278,1514,ZACATECAS,HUANUSCO,Huanusco,601.0164,19.3752,"['blanco', 'naranja']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,fb023d796941f957eea403887af5a36d,19.19722,-98.48806,2470,PUEBLA,CHIAUTZINGO,Zecalacoayan,791.9741,14.2837,"['blanco', 'amarillo claro']",12,14
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,40c1aea52bdedf3151f73aacc3164602,19.7,-99.17167,2248,MEXICO,CUAUTITLAN,"Ixtacalco, San Mateo Ixtacalco",633.3646,15.7718,"['blanco', 'amarillo claro']",16,15
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,cbf3156d72e5a65c5c7871b314af2144,19.5042297,-98.81699,2401,MEXICO,TEXCOCO,san nicolas tlaminca,559.1787,15.0189,"['blanco', 'amarillo claro', 'azul oscuro']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,d00cdf3fce8d722914f099d4e95eeb60,19.24333,-98.4044419,2242,PUEBLA,SAN MARTIN TEXMELUCAN,Santa María Moyotzingo,725.7441,15.1627,['blanco cremoso'],14,15.32
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,fea3058b1734a7bebfb45076bd69fa9d,19.24333,-98.4044419,2242,PUEBLA,SAN MARTIN TEXMELUCAN,Santa María Moyotzingo,725.7441,15.1627,['blanco'],14,13.5
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,5ed78eda200f4114de088441d3f13b87,20.0113897,-99.5875,2643,MEXICO,JILOTEPEC,La Comunidad,793.4235,13.2633,"['blanco', 'azul oscuro', 'negro']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,ba449cc1fb4ad8684afce7062a7e683f,17.3696116,-98.6251677,2038,GUERRERO,COPANATOYAC,La Concepción,1073.4014,18.1283,['blanco cremoso'],13.6,16.4
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,168b938a196df00913ab676836012316,19.4085005,-97.6360855,2358,PUEBLA,ORIENTAL,San Antonio Virreyes,496.8051,13.9237,['blanco cremoso'],15.8,17.54
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,2ef9ee6b724dd94b3a05a60af8a75298,24.4011097,-103.87278,2099,DURANGO,CUENCAME,Colonia Héroes de Chapultepec,476.8457,16.4507,"['blanco', 'amarillo claro']",14,16.2
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,19cf059c4d6c166787176edfab889099,19.1944008,-98.4150008,2257,PUEBLA,HUEJOTZINGO,San Mateo Capultitlán,758.8105,15.2018,['blanco cremoso'],12.5,16.4175
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,0bde8fbbd43ec0018b8aee876236c15a,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,Cuijinco,777.7813,13.8073,"['blanco', 'amarillo claro']",18,11
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,1cd08ba7056089b3d77165fa44ff06a1,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,Cuijinco,777.7813,13.8073,"['blanco', 'amarillo claro']",12,13.5
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,8d21c0ed7468b08cb023eeacac8825a6,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,Cuijinco,777.7813,13.8073,['blanco'],14,10.7
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7494eca6b4bdc917753fad1594ac65bd,20.31306,-98.9044397,2128,HIDALGO,ACTOPAN,Ejido de La Estancia,447.7341,15.3817,"['blanco', 'amarillo claro']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,75c922b648f4b463e02054ab77a42855,19.07889,-97.97056,2386,PUEBLA,TEPATLAXCO DE HIDALGO,Tepatlaxco de Hidalgo,760.571,14.6055,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,f8a2a70275e0248586f5afa23ed69235,19.0424119,-98.940033,2569,MORELOS,TLALNEPANTLA,Felipe Neri,902.3672,13.5824,['blanco'],16.6,15.92
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,1e6c78bd085d28bef00bdfe941fee339,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco cremoso'],16.5,19.2
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,23ae7b8cd8ce8f90abab51802150be1b,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['azul oscuro'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,31e697b32014f7578553b8bd41d892f6,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,no disponible,no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,33328b2f7ea5a0e03effa61db7f34eba,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco cremoso'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,3cc232929841edb227b196c77bb3fda5,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,4cf89bed31808df8406983a6f3b8629b,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco cremoso'],16.5,19.2
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7460a079765dde4beed3d097938abb8e,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],14.5,18.6
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7cca78f33910616b05d4fbdbcf83fbee,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],15.5,19.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,975e78e801065bf57ff20b5e568bf042,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],15.5,19.1
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,c4c39fe608efc31bc5ad671a01f0d564,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['azul oscuro'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,d56bca47e95c7e0993bcfb849a39aedf,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],13,17.5
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,db4d1c4135c976cf3c3960c0c98128fc,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,f629597e4a6a85b5d84de559acdfe955,19.08389,-98.8516697,2498,MEXICO,JUCHITEPEC,San Matías Cuijingo (Cuijingo),777.7813,13.8073,['blanco cremoso'],no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,892bca7b61b6e9125fb1d65cd66ec64d,19.8358333,-101.67,1987,MICHOACAN DE OCAMPO,COENEO,Bellas fuentes,814.8572,16.4991,['blanco'],15.33,16.25
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,9f67213b4dad801d9be90a7dc22f98aa,19.8358333,-101.67,1987,MICHOACAN DE OCAMPO,COENEO,Bellas fuentes,814.8572,16.4991,no disponible,no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,18c2a63fe272f8e44abcb55284051ebf,19.0258297,-98.82056,2324,MEXICO,TEPETLIXPA,San Esteban Tepetlixtla,885.6859,15.1617,"['blanco', 'amarillo claro']",no disponible,no disponible
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,7e6d033f91ba0c6ef12632d90d5cfc4e,19.8841666,-101.7680555,1996,MICHOACAN DE OCAMPO,ZACAPU,La Escondida,817.3736,16.4621,['blanco'],19,16.9
79254ANGIO,Zea mays subsp. mays raza Chalqueño,raza,aceptado,1012,06e3ef57e02ff1e621db5321945b6e14,20.3636111,-100.0830536,2044,QUERETARO,SAN JUAN DEL RIO,Los Cerritos,572.5825,17.291,['blanco cremoso'],11.8,16.95
